CASE_NUMBER,STATUS,APPLICATION_SUBMITTED_DATE,COMPLETED_DATE,CANCELLATION_DATE,BROKER_ID,BROKER_FIRM_ID,LOAN_AMOUNT,PROPERTY_CATEGORY
3,CANCELLED,2021-03-27 09:48:33.000000000,,2021-12-08 10:27:58.000000000,365c283d-7e63-4b25-96ab-ab32f0114ba0,196349217b0224948c1010f3dd321390ddf8c91289d543a9dbab30ba63190688,204560.500000,STANDARD
4,CANCELLED,2021-01-12 14:35:49.000000000,,2021-06-23 11:43:52.000000000,a6f68ca3-dbd7-45a7-9826-dfffc66f5547,7f500937103faec98a29fe4744ccdfbdcd2194a648be781d2e533b74b3855f44,360172.000000,STANDARD
5,CANCELLED,2021-01-12 13:07:07.000000000,,2021-06-23 11:42:51.000000000,a6f68ca3-dbd7-45a7-9826-dfffc66f5547,7f500937103faec98a29fe4744ccdfbdcd2194a648be781d2e533b74b3855f44,223069.600000,STANDARD
6,CANCELLED,2021-01-12 13:51:14.000000000,,2021-06-23 11:43:52.000000000,a6f68ca3-dbd7-45a7-9826-dfffc66f5547,7f500937103faec98a29fe4744ccdfbdcd2194a648be781d2e533b74b3855f44,215849.600000,STANDARD
10,COMPLETED,2021-01-25 14:00:39.000000000,2021-03-31 22:59:00.000000000,,fded6a9b-549c-4f47-a820-118001368786,4a31e715c18691a62bb1022c7fab48bea79ba37d7023249ef22db47617565937,748340.000000,MUFB
14,CANCELLED,2021-01-15 13:59:07.000000000,,2021-11-16 18:42:59.000000000,b3026218-a0e9-4e59-a9ad-441816d7b3d9,f33cdab5a651a205e8389d44ad598b1af2d2e46464d3c6e9b6e71f9754779537,162329.000000,STANDARD
24,CANCELLED,2021-01-25 10:49:59.000000000,,2021-09-28 09:40:43.000000000,64d4d241-d637-475c-8553-f4c662e2f0b0,4b9399797b1e14f16797d6b183f7e88dfaf9d87ce53c2fe00a2ffcda725fd5dc,292347.000000,HMO
27,COMPLETED,2021-01-12 20:41:54.000000000,2021-04-16 22:59:00.000000000,,6808c4fd-ced5-4665-a602-844943fb0d04,325e020b9b40396ac5ff326b7234c285df54d00cde90602ec5c55caf09fb07b6,385578.000000,STANDARD
28,COMPLETED,2021-01-05 08:42:21.000000000,2021-06-10 22:59:00.000000000,,c95adf40-2d9b-4dc5-85c0-107b6634ae92,c69fc6b68282abb72ec6936a849c57fe7c44a08b54c725ce0b687e5acb1b25d1,205990.000000,STANDARD
32,COMPLETED,2021-01-12 17:01:28.000000000,2021-07-09 22:59:00.000000000,,b1a7d9e0-6d3b-4f31-80b3-da8884b9aa87,1221bf801f26715febdf7117bc38b502a0601b18af90289a33104b570ca5b9a9,180188.000000,MUFB
